imdb_title_id,companies
9,Alexander Black Photoplays
574,J. and N. Tait
1892,Fotorama
2101,Helen Gardner Picture Players
2130,Milano Film
2199,Kalem Company
2423,Projektions-AG Union (PAGU)
2445,Società Italiana Cines
2452,Societatea Filmului de Arta Leon Popescu
2461,Le Film d'Art
2646,Nordisk Film
2844,Société des Etablissements L. Gaumont
3014,Svenska Biografteatern AB
3037,Société des Etablissements L. Gaumont
3102,Film Artistica Gloria
3131,Belge Cinéma Film
3165,Société des Etablissements L. Gaumont
3167,Majestic Motion Picture Company
3419,Deutsche Bioscop GmbH
3471,Independent Moving Pictures Co. of America (IMP)
3489,Società Anonima Ambrosio
3637,Caesar Film
3643,Majestic Motion Picture Company
3657,New York Motion Picture
3740,Itala Film
3772,Famous Players Film Company
3883,Société des Etablissements L. Gaumont
3930,Société des Etablissements L. Gaumont
3973,Vitagraph Company of America
4026,Deutsche Bioscop GmbH
4066,Dansk Biograf Compagni
4099,The Oz Film Manufacturing Company
4134,Hobart Bosworth Productions
4150,Seattle Film Co.
4181,Biograph Company
4457,The Oz Film Manufacturing Company
4465,Pathé Frères
4635,Jesse L. Lasky Feature Play Company
4681,Famous Players Film Company
4707,Keystone Film Company
4712,ProJa Filmgyár
4743,World Film
4766,Jesse L. Lasky Feature Play Company
4825,Shubert Film Corporation
4838,New York Motion Picture
4872,Peerless Productions
4873,Nonpareil Feature Film Corp.
4972,David W. Griffith Corp.
5060,Jesse L. Lasky Feature Play Company
5078,Jesse L. Lasky Feature Play Company
5149,Kay-Bee Pictures
5339,Fox Film Corporation
5402,Jesse L. Lasky Feature Play Company
5529,Dansk Biograf Compagni
5557,New York Motion Picture
5680,Itala Film
5719,Fine Arts Film Company
5809,Fox Film Corporation
5916,Khanzhonkov
5951,Società Italiana Cines
5960,Fox Film Corporation
6206,Société des Etablissements L. Gaumont
6327,Jesse L. Lasky Feature Play Company
6333,Williamson Submarine Film Corporation
6509,Fine Arts Film Company
6517,Thomas H. Ince Corporation
6589,Fine Arts Film Company
6617,Svenska Biografteatern AB
6688,Fine Arts Film Company
6731,Fine Arts Film Company
6736,Fine Arts Film Company
6745,Fine Arts Film Company
6753,Fine Arts Film Company
6780,Kay-Bee Pictures
6809,Fine Arts Film Company
6826,Fine Arts Film Company
6864,Triangle Film Corporation
6886,Société des Etablissements L. Gaumont
