imdb_title_id,writers
9,Alexander Black
574,Charles Tait
1892,"Urban Gad, Gebhard Schätzler-Perasini"
2101,Victorien Sardou
2130,Dante Alighieri
2199,Gene Gauntier
2423,"Norbert Falk, Hanns Kräly"
2445,"Henryk Sienkiewicz, Enrico Guazzoni"
2452,"Aristide Demetriade, Petre Liciu"
2461,"James Keane, William Shakespeare"
2646,"Axel Garde, Gerhart Hauptmann"
2844,"Marcel Allain, Louis Feuillade"
3014,Nils Krok
3037,"Marcel Allain, Louis Feuillade"
3102,"Emiliano Bonetti, G. Monleone"
3131,Alfred Machin
3165,"Marcel Allain, Louis Feuillade"
3167,"D.W. Griffith, H.E. Aitken"
3419,"Hanns Heinz Ewers, Hanns Heinz Ewers"
3471,
3489,"Edward George Bulwer-Lytton, Mario Caserini"
3637,"Salvatore Di Giacomo, Francesca Bertini"
3643,"Edgar Allan Poe, D.W. Griffith"
3657,"William H. Clifford, Thomas H. Ince"
3740,"Gabriele D'Annunzio, Titus Livius"
3772,Charles Perrault
3883,Léonce Perret
3930,"Marcel Allain, Louis Feuillade"
3973,"Marguerite Bertsch, Archibald Clavering Gunter"
4026,"Henrik Galeen, Paul Wegener"
4066,"Benjamin Christensen, Laurids Skands"
4099,"L. Frank Baum, L. Frank Baum"
4134,Lois Weber
4150,Edward S. Curtis
4181,"Thomas Bailey Aldrich, D.W. Griffith"
4457,"L. Frank Baum, L. Frank Baum"
4465,"Charles W. Goddard, Basil Dickey"
4635,"Edwin Milton Royle, Cecil B. DeMille"
4681,"Grace Miller White, B.P. Schulberg"
4707,
4712,"Jenö Janovics, Ede Tóth"
4743,"Harriet Beecher Stowe, George L. Aiken"
4766,"Owen Wister, Kirk La Shelle"
4825,"Owen Davis, Maurice Tourneur"
4838,"William H. Clifford, Thomas H. Ince"
4872,"Paul Armstrong, O. Henry"
4873,"Lewis Carroll, W.W. Young"
4972,"Thomas Dixon Jr., Thomas Dixon Jr."
5060,"Prosper Mérimée, William C. de Mille"
5078,"Hector Turnbull, Jeanie Macpherson"
5149,"Thomas H. Ince, Thomas H. Ince"
5339,"Porter Emerson Browne, Roy L. McCardell"
5402,"Cecil B. DeMille, Jeanie Macpherson"
5529,Benjamin Christensen
5557,"Thomas H. Ince, C. Gardner Sullivan"
5680,"Agnes Fletcher Bain, Giovanni Pastrone"
5719,"Christy Cabanne, Theodosia Harris"
5809,"Edgar Lewis, Edward Sheldon"
5916,"Yevgeny Bauer, Ivan Turgenev"
5951,"Alberto Fassini, Alberto Fassini"
5960,"Owen Frawley Kildare, Raoul Walsh"
6206,Louis Feuillade
