imdb_name_id,DOB
1,1899-05-10
2,16-09-1924
3,28-09-1934
4,24-01-1949
5,14-07-1918
6,29-08-1915
7,1899-12-25
8,03-04-1924
9,10-11-1925
10,1899-07-17
11,07-05-1901
12,05-04-1908
13,03-04-1922
14,01-07-1916
15,08-02-1931
16,12-03-1925
17,27-12-1901
18,09-12-1916
19,20-01-1920
20,16-05-1905
21,22-10-1917
22,01-02-1901
23,10-06-1922
24,14-04-1904
25,10-02-1929
26,18-01-1904
27,02-04-1914
28,17-10-1918
29,16-02-1954
30,04-05-1929
31,12-05-1907
32,04-10-1923
33,1899-08-13
34,17-04-1918
35,14-08-1953
36,1895-10-04
37,23-08-1912
38,12-11-1929
39,30-09-1921
40,26-07-1928
41,23-03-1910
42,03-09-1913
43,14-11-1922
44,02-11-1913
45,27-11-1940
46,05-11-1913
47,20-09-1934
48,26-06-1904
49,16-04-1924
50,1890-10-02
51,15-05-1909
52,28-09-1924
53,06-08-1917
54,01-06-1926
55,17-03-1901
56,26-01-1925
57,01-03-1910
58,17-08-1920
59,22-05-1907
60,05-04-1916
61,05-05-1914
62,08-01-1935
63,21-04-1915
64,1893-12-12
65,03-12-1911
66,21-06-1921
67,18-04-1907
68,1898-01-23
69,12-12-1915
70,1888-05-10
71,20-05-1908
72,27-02-1932
73,23-04-1928
74,19-11-1920
75,05-04-1900
76,06-02-1932
77,24-12-1906
78,26-05-1907
79,05-09-1940
80,06-05-1915
81,20-07-1938
82,08-08-1900
84,31-12-1965
85,01-07-1950
86,31-07-1914
87,03-10-1953
88,02-05-1927
89,06-06-1940
90,17-12-1930
91,31-08-1942
92,27-10-1939
93,18-12-1963
94,
95,01-12-1935
96,09-08-1968
97,01-07-1967
98,11-02-1969
99,08-04-1968
100,06-01-1955
101,01-07-1952
102,08-07-1958
103,21-05-1974
104,10-08-1960
105,11-06-1945
106,22-02-1975
107,08-12-1953
108,18-03-1959
109,14-06-1968
110,10-12-1960
111,21-03-1962
112,16-05-1953
113,26-07-1964
114,13-12-1957
115,07-01-1964
116,16-08-1954
117,03-10-1973
118,16-01-1948
119,02-01-1967
120,17-01-1962
121,16-07-1963
122,1889-04-16
123,06-05-1961
124,12-12-1970
125,25-08-1930
126,18-01-1955
127,02-08-1939
128,07-04-1964
129,03-07-1962
130,22-11-1958
131,28-06-1966
132,12-04-1979
133,21-01-1956
134,17-08-1943
135,31-12-1943
136,09-06-1963
137,20-11-1956
138,11-11-1974
139,30-08-1972
140,25-09-1944
141,07-08-1960
142,31-05-1930
143,29-09-1969
144,26-10-1962
145,01-02-1965
146,22-12-1962
147,10-09-1960
148,13-07-1942
149,19-11-1962
150,09-06-1961
151,01-06-1937
152,31-08-1949
153,10-06-1962
154,03-01-1956
155,13-11-1955
156,22-10-1952
157,26-09-1956
158,09-07-1956
159,08-12-1964
160,06-11-1970
161,02-09-1966
162,25-05-1969
163,08-08-1937
164,31-12-1937
165,01-03-1954
166,15-06-1963
167,10-06-1965
168,21-12-1948
169,15-09-1946
170,17-12-1975
171,19-04-1968
172,13-05-1939
173,20-06-1967
174,31-12-1959
175,21-09-1947
176,24-01-1961
177,24-10-1947
178,22-01-1965
179,29-12-1972
180,25-03-1908
181,25-09-1961
182,24-07-1969
183,07-05-1968
184,14-05-1944
185,03-11-1957
186,20-01-1946
187,16-08-1958
188,14-08-1945
189,01-11-1972
190,04-11-1969
191,31-03-1971
192,19-12-1972
193,11-11-1962
194,03-12-1960
195,21-09-1950
196,25-05-1963
197,22-04-1937
198,21-03-1958
199,25-04-1940
200,17-05-1955
201,29-04-1958
202,10-09-1974
203,23-08-1970
204,09-06-1981
205,08-11-1968
206,02-09-1964
207,12-02-1980
208,18-02-1968
209,16-10-1958
210,28-10-1967
211,27-01-1956
212,19-11-1961
213,29-10-1971
214,19-06-1967
215,04-10-1946
216,30-07-1947
217,17-11-1942
218,24-05-1960
219,10-04-1952
220,23-12-1958
221,03-09-1965
222,31-05-1965
223,06-10-1963
224,04-10-1976
225,18-08-1969
226,25-09-1968
227,28-09-1967
228,26-07-1959
229,18-12-1946
230,06-07-1946
231,15-09-1946
232,10-03-1958
233,27-03-1963
234,07-08-1975
235,29-04-1970
236,16-09-1958
237,18-02-1954
238,10-03-1957
239,01-07-1977
240,20-01-1970
241,18-10-1960
242,05-06-1971
243,28-12-1954
244,08-10-1949
245,21-07-1951
246,19-03-1955
247,22-09-1946
248,10-10-1924
249,18-04-1947
250,25-04-1969
251,26-10-1973
252,1892-06-27
254,27-06-1955
255,15-08-1972
256,20-12-1952
257,28-01-1936
258,08-10-1956
259,14-12-1962
260,20-08-1956
261,05-10-1951
262,24-06-1950
263,12-01-1951
264,25-09-1949
265,20-02-1925
266,19-03-1936
267,01-10-1935
268,28-04-1941
269,01-10-1943
270,04-02-1970
271,24-08-1947
272,22-03-1949
273,26-03-1934
274,08-09-1971
275,10-08-1959
276,25-02-1971
277,29-08-1923
278,13-02-1958
279,25-04-1964
280,01-03-1954
281,22-09-1960
282,23-04-1970
283,15-05-1963
284,27-02-1962
285,03-04-1958
286,12-05-1966
287,21-02-1963
288,30-01-1974
289,16-04-1954
290,03-11-1933
291,16-08-1958
292,01-10-1958
293,17-04-1959
294,09-08-1958
295,26-07-1973
296,19-11-1953
297,31-05-1949
298,09-05-1946
299,31-07-1956
300,09-03-1964
301,11-03-1982
302,13-09-1944
303,22-08-1925
304,22-01-1959
305,30-05-1908
306,09-10-1936
307,26-05-1966
308,24-01-1917
309,08-01-1947
310,12-05-1950
311,1888-05-17
312,22-06-1964
313,04-12-1949
314,03-11-1921
315,14-11-1906
316,28-06-1926
317,05-01-1959
318,25-08-1958
319,02-07-1970
320,22-02-1900
321,12-05-1950
322,14-08-1963
323,14-03-1933
324,31-12-1945
325,07-01-1956
326,21-08-1956
327,30-09-1982
328,31-03-1934
329,07-04-1954
330,13-02-1944
331,08-10-1943
332,29-11-1964
333,20-05-1946
334,18-05-1955
335,19-03-1947
336,31-08-1928
337,04-10-1979
338,07-04-1939
339,05-04-1926
340,20-02-1966
341,23-10-1942
342,27-01-1940
343,15-03-1943
344,24-11-1957
345,14-03-1948
346,26-08-1980
347,19-04-1946
348,03-06-1925
349,11-10-1962
350,15-11-1951
351,30-03-1968
352,30-06-1959
353,22-07-1955
354,08-10-1970
355,21-02-1946
356,24-05-1952
357,15-07-1961
358,29-04-1957
359,11-08-1949
360,29-08-1959
361,11-09-1940
362,17-11-1944
363,31-07-1969
364,23-04-1942
365,21-12-1969
366,22-10-1943
367,27-12-1948
368,10-02-1967
369,18-02-1964
370,05-12-1901
371,08-01-1969
372,29-06-1962
373,09-12-1952
374,18-03-1950
375,04-04-1965
376,30-09-1957
377,29-10-1947
378,31-01-1970
379,30-04-1982
380,05-01-1931
381,19-07-1962
382,19-07-1960
383,29-12-1969
384,29-05-1953
385,09-08-1944
386,10-11-1955
387,06-06-1947
388,24-03-1944
389,12-05-1962
390,23-11-1944
391,29-05-1959
392,03-02-1950
393,16-09-1927
394,15-02-1964
395,19-11-1963
396,02-02-1947
397,16-07-1971
398,06-11-1946
399,28-08-1962
400,09-03-1958
401,30-07-1961
402,21-10-1956
403,27-01-1964
404,21-12-1937
405,08-01-1965
406,1894-02-01
407,30-07-1964
408,19-08-1952
