imdb_title_id,language
9,
574,
1892,
2101,English
2130,Italian
2199,English
2423,German
2445,Italian
2452,
2461,English
2646,Danish
2844,French
3014,
3037,French
3102,Italian
3131,French
3165,French
3167,English
3419,"German, English"
3471,English
3489,Italian
3637,
3643,English
3657,English
3740,Italian
3772,English
3883,French
3930,French
3973,English
4026,German
4066,Danish
4099,English
4134,English
4150,English
4181,English
4457,English
4465,English
4635,English
4681,English
4707,", English"
4712,Hungarian
4743,
4766,English
4825,English
4838,English
4872,English
4873,English
4972,
5060,English
5078,English
5149,English
5339,English
5402,English
5529,
5557,English
5680,Italian
5719,English
5809,English
5916,Russian
5951,
5960,English
6206,French
6327,English
6333,English
6509,English
6517,English
6589,English
6617,
6688,English
6731,English
6736,English
6745,English
6753,English
6780,English
6809,English
6826,English
6864,English
6886,French
7047,English
7183,Russian
7257,English
7260,English
7309,German
7338,English
7340,English
7361,English
7367,English
7522,
7558,English
7610,English
7755,English
7801,English
7983,
8011,
8100,
8150,English
8188,English
8196,English
8279,
8309,English
8395,
8443,English
8489,English
8499,English
8519,
8536,
8634,English
8652,
8663,
8672,
8679,
8687,English
8710,
8775,English
8827,English
8843,
8854,German
8879,
8891,English
8930,English
8950,German
9014,French
9062,German
9086,English
9150,English
9153,
9241,English
9326,English
9356,English
9369,English
9440,English
9475,English
9559,English
9608,English
9611,", English"
9652,
9682,
9701,French
9737,English
9796,English
9878,"English, German"
9892,
9893,German
9894,Spanish
9900,
9915,English
9937,English
9968,
9976,English
10040,English
10060,English
10071,
10103,English
10137,English
10162,English
10193,English
10195,English
10208,Dutch
10219,English
10227,English
10247,Swedish
10267,English
10281,German
10298,
10307,French
10323,German
10418,English
10456,German
10466,English
10484,
10559,
10598,
10600,
10635,English
10662,English
10680,English
10726,
10755,
10806,English
10821,
10844,English
10853,
10879,English
10890,English
10925,English
10953,
10962,German
10964,English
10969,French
11000,
11130,English
11157,Swedish
11173,
11193,English
11217,German
11221,German
11237,
11267,English
11294,French
11302,French
11317,
11344,English
11358,English
11369,
11370,
11371,German
11387,English
11414,
11415,English
11439,
11440,
11474,English
11513,
11588,English
11607,"Swedish, Danish"
11623,English
11641,German
11647,English
11652,
11679,
11716,
11723,
11741,English
11742,German
11753,English
11779,English
11833,German
11837,
11841,
11865,English
11870,
11904,
11908,English
11909,
11948,English
11960,
11979,English
12016,English
12027,English
12068,
12122,
12125,English
12134,French
12136,English
12187,
12190,
12249,German
12281,German
12313,German
12314,German
12334,
12349,"English, "
12364,Swedish
12382,English
12397,English
12408,English
12465,
12486,English
12494,German
12513,English
12532,English
12538,English
12631,Japanese
12642,", English"
12645,
12650,German
12651,German
12675,English
12699,
12745,French
12752,English
12755,English
12763,
12769,English
12806,German
12928,English
12938,
12952,
12973,
12975,English
13033,French
13059,
13075,English
13085,
13122,French
13134,
13140,"Latin, French, English"
13169,German
13201,English
13223,English
13332,
13367,English
13372,
13386,English
13402,
13404,
13428,German
13442,German
13450,English
13469,German
13496,German
13515,
13556,English
13571,
13574,
13579,German
13590,
13592,English
13597,English
13607,English
13619,
13662,English
13674,English
13688,
13704,English
13705,English
13741,German
13750,English
13802,
13830,German
13909,English
13933,French
13951,English
14029,English
14108,
14109,
14112,English
14142,
14205,English
14341,English
14358,", English"
14397,
14416,English
14417,"English, French"
14429,English
14440,", English, French"
14446,German
14463,English
14497,English
14516,German
14524,German
14532,English
14538,
14586,German
14604,English
14605,English
14606,English
14611,English
14624,", English"
14636,English
14646,Russian
14672,
14702,
14721,English
14760,English
14770,
14826,English
14854,English
14869,English
14874,English
14898,French
14900,German
14925,
14945,English
14972,English
14982,
15002,", English"
15014,French
15016,English
15018,English
15022,English
15036,
15064,
15116,English
15119,
15136,
15145,English
15163,
15167,
15174,
15175,German
15200,English
15202,
15213,Russian
15214,", French"
15224,
15268,
15289,
15310,English
15312,English
15324,English
15361,
15400,
15493,English
15498,English
15500,English
15518,English
15532,
15624,
15634,English
15643,English
15648,Russian
15684,English
15687,English
15693,English
15758,English
15768,Danish
15772,English
15794,
15801,French
15841,English
15842,German
15847,
15861,
15863,English
15864,"English, "
15872,English
15881,English
15883,French
15909,English
15935,
16004,English
16005,English
16006,
16013,English
16023,English
16028,"English, Greek"
16029,English
16039,
16104,
16123,English
16142,English
16185,
16201,English
16205,English
16220,
16226,English
16230,English
16232,French
16240,
16241,English
16258,"English, Yiddish"
16276,English
16288,English
16294,English
16308,English
16309,English
16310,
16332,English
16338,English
16377,English
16392,
16394,English
16395,English
16461,English
16473,English
16480,English
16481,German
16491,French
16493,French
16544,
16545,English
16548,
16559,
16560,English
16563,
16627,English
16629,English
16630,English
16634,English
16640,English
16643,"English, German"
16646,English
16654,
16655,English
16664,English
16669,
16672,English
16690,English
16691,
16762,English
16804,English
16822,English
16827,English
16832,English
16847,German
16854,English
16871,
16884,
16895,English
16914,German
16939,English
16947,English
16953,German
16971,English
17004,English
17028,English
17029,English
17048,Japanese
17075,
17082,
17096,Italian
17103,English
17119,English
17120,English
17128,
17136,German
17159,Russian
17184,English
17195,Sign Languages
17196,French
17198,English
17226,
17271,Russian
17293,
17329,English
17338,German
17350,English
17354,English
17374,English
17378,
17382,English
17409,English
17410,English
17416,English
17419,English
17423,English
17437,English
17438,German
17448,German
17449,English
17463,English
17480,English
17483,English
17519,English
17534,
17540,
17567,"English, Spanish"
17619,English
17621,German
17632,English
17653,
17662,
17667,English
17726,German
17735,English
17736,French
17739,English
17750,English
17751,
17765,English
17809,
17825,English
17832,English
17843,English
17860,English
17886,English
17918,English
17925,English
17928,English
17938,", French"
17961,
17998,English
18014,
18016,English
18033,
18037,English
18045,French
18051,English
18054,English
18066,
18087,German
18097,
18102,English
18107,
18113,
18138,English
18166,English
18179,"English, Mandarin"
18183,English
18192,
18217,
18218,English
18235,English
18247,
18253,English
18268,
18297,
18311,English
18328,
18351,English
18362,
18379,English
18389,
18392,English
18397,English
18413,English
18440,English
18451,English
18453,
18455,English
18464,English
18471,English
18484,English
18487,English
18505,Russian
18513,English
18515,English
18523,French
18524,English
18526,English
18528,English
18530,English
18566,English
18578,English
18579,English
18588,German
18600,Mandarin
18615,German
18618,English
18678,English
18684,English
18722,
18737,German
18742,English
18749,English
18756,English
18770,
18773,English
18795,English
18826,French
18836,
18839,English
18841,Russian
18862,Sign Languages
18876,English
18879,
18882,
18907,English
18908,English
18909,English
18910,
18927,English
18935,German
18937,
18972,
18990,German
18996,English
19043,Japanese
19067,English
19071,English
19074,
19096,English
19098,
19109,English
19127,
19130,English
19151,English
19152,English
19182,
19186,English
19195,English
19237,English
19254,French
19258,English
19286,Russian
19290,English
19304,English
19312,
19325,
19335,English
19344,
19374,
19379,
19388,English
19400,English
19412,English
19415,German
19421,English
19429,
19434,English
19451,English
19462,English
19480,French
19489,English
19509,English
19532,", English"
19553,
19557,English
19558,English
19563,English
19571,English
19574,English
19585,English
19591,English
19609,German
19611,", Russian"
19629,Spanish
19630,English
19644,English
19646,French
19649,Russian
19655,German
19658,English
19684,English
19690,English
19699,English
19702,English
19725,English
19726,English
19729,English
19735,English
19745,English
19746,French
19777,English
19785,English
19788,English
19796,
19798,English
19800,English
19811,English
19815,"English, French"
19823,English
19824,English
19839,
19843,English
19850,Czech
19852,English
19856,English
19884,English
19886,English
19889,English
19901,German
19909,German
19929,English
19933,English
19935,English
19936,English
19939,Russian
19945,English
19946,"German, English"
19949,English
19957,English
19959,English
19976,"English, Spanish"
19979,English
19983,English
19992,English
19993,English
20004,English
20011,German
20014,English
20018,"English, Spanish, Italian"
20025,English
20030,English
20034,English
20062,English
20075,
20078,English
20080,English
20081,English
20092,English
20099,English
20103,English
20112,"English, French"
20114,English
20122,English
20126,English
20142,English
20143,"English, French"
20144,English
20163,
20166,"English, Spanish"
20182,French
20193,German
20197,English
20198,English
20210,English
20217,English
20223,English
20228,French
20230,Russian
20232,Russian
20238,"English, French"
20247,English
20253,"English, Polynesian"
20269,English
20286,English
20293,
20298,
20305,English
20320,English
20332,English
