writer
Alexander Black
Charles Tait
"Urban Gad, Gebhard Schätzler-Perasini"
Victorien Sardou
Dante Alighieri
Gene Gauntier
"Norbert Falk, Hanns Kräly"
"Henryk Sienkiewicz, Enrico Guazzoni"
"Aristide Demetriade, Petre Liciu"
"James Keane, William Shakespeare"
"Axel Garde, Gerhart Hauptmann"
"Marcel Allain, Louis Feuillade"
Nils Krok
"Marcel Allain, Louis Feuillade"
"Emiliano Bonetti, G. Monleone"
Alfred Machin
"Marcel Allain, Louis Feuillade"
"D.W. Griffith, H.E. Aitken"
"Hanns Heinz Ewers, Hanns Heinz Ewers"

"Edward George Bulwer-Lytton, Mario Caserini"
"Salvatore Di Giacomo, Francesca Bertini"
"Edgar Allan Poe, D.W. Griffith"
"William H. Clifford, Thomas H. Ince"
"Gabriele D'Annunzio, Titus Livius"
Charles Perrault
Léonce Perret
"Marcel Allain, Louis Feuillade"
"Marguerite Bertsch, Archibald Clavering Gunter"
"Henrik Galeen, Paul Wegener"
"Benjamin Christensen, Laurids Skands"
"L. Frank Baum, L. Frank Baum"
Lois Weber
Edward S. Curtis
"Thomas Bailey Aldrich, D.W. Griffith"
"L. Frank Baum, L. Frank Baum"
"Charles W. Goddard, Basil Dickey"
"Edwin Milton Royle, Cecil B. DeMille"
"Grace Miller White, B.P. Schulberg"

"Jenö Janovics, Ede Tóth"
"Harriet Beecher Stowe, George L. Aiken"
"Owen Wister, Kirk La Shelle"
"Owen Davis, Maurice Tourneur"
"William H. Clifford, Thomas H. Ince"
"Paul Armstrong, O. Henry"
"Lewis Carroll, W.W. Young"
"Thomas Dixon Jr., Thomas Dixon Jr."
"Prosper Mérimée, William C. de Mille"
"Hector Turnbull, Jeanie Macpherson"
"Thomas H. Ince, Thomas H. Ince"
"Porter Emerson Browne, Roy L. McCardell"
"Cecil B. DeMille, Jeanie Macpherson"
Benjamin Christensen
"Thomas H. Ince, C. Gardner Sullivan"
"Agnes Fletcher Bain, Giovanni Pastrone"
"Christy Cabanne, Theodosia Harris"
"Edgar Lewis, Edward Sheldon"
"Yevgeny Bauer, Ivan Turgenev"
"Alberto Fassini, Alberto Fassini"
"Owen Frawley Kildare, Raoul Walsh"
Louis Feuillade
"William C. de Mille, William C. de Mille"
Jules Verne
Roy Somerville
C. Gardner Sullivan
"Roy Somerville, Chester Withey"
"A.V. Samsjö, Sam Ask"
Robert M. Baker
Bernard McConville
Douglas Fairbanks
Bernard McConville
"Bret Harte, Anita Loos"
"C. Gardner Sullivan, C. Gardner Sullivan"
"John Emerson, Anita Loos"
D.W. Griffith
"D.W. Griffith, Anita Loos"
"Arthur Bernède, Louis Feuillade"
"Octavus Roy Cohen, John Emerson"
"Alexander Pushkin, Fyodor Otsep"
"Robert M. Baker, Roy Somerville"
"C. Gardner Sullivan, C. Gardner Sullivan"
"Hanns Kräly, Erich Schönfelder"
"H.S. Sheldon, William Gillette"
"Stella Wynne Herron, Jane Addams"
"Winthrop Ames, Winthrop Ames"
"John Emerson, Anita Loos"
"Herman Bang, Axel Esbensen"
"Lucy Payton, Franklyn Hall"
"William Wallace Cook, Ruth Ann Baldwin"
George Hively
"Adrian Johnson, Émile Moreau"
Robert Wiene
"Frances Marion, Maurice Tourneur"
"Sophus Michaëlis, Sophus Michaëlis"
"Jeanie Macpherson, William C. de Mille"
Jeanie Macpherson
"Frances Hodgson Burnett, Frances Marion"
Abel Gance
"Allan Dwan, E.P. Lyle Jr."
"Leo Tolstoy, Alexandre Volkoff"
"Eleanor Gates, Frances Marion"
"E.W. Hornung, Anthony Paul Kelly"
"Frances Marion, Charlotte Thompson"
"Cecil B. DeMille, Jeanie Macpherson"
Olga Blazhevich
George Hively
"Charles Dickens, Frank Lloyd"
Henrik Ibsen
Gustaf Molander
"Frances Marion, Mark Swan"
"Mark Twain, Julia Crawford Ivers"
"Ester Julin, Selma Lagerlöf"
"Horace B. Carpenter, Anita Loos"
"Frances Marion, Belle K. Maniates"
"Mór Jókai, Ladislaus Vajda"
"Hanns Kräly, Emil Rameau"
"Victor Sjöström, Sam Ask"
"Maurice Maeterlinck, Charles Maigne"
"Ida May Park, W. Carey Wonderly"
"Grete Diercks, Norbert Falk"
Abel Gance
Ernst Lubitsch
"Mary Murillo, George Scarborough"
"D.W. Griffith, D.W. Griffith"
"John Ford, Harry Carey"
"Rupert Hughes, Frances Marion"
"Bret Harte, Frances Marion"
"Hayden Talbot, Hayden Talbot"
"Hampton Del Ruth, J.G. Hawks"
"Jeanie Macpherson, David Graham Phillips"
"Cyril Harcourt, Edith M. Kennedy"
D.W. Griffith
Charles T. Dazey
Charles Chaplin
"William J. Locke, Frances Marion"
"Edgar Rice Burroughs, Fred Miller"
Louis Feuillade
Mary Raymond Shipman Andrews
"Jeanie Macpherson, Perley Poore Sheehan"
"Magnus Hirschfeld, Richard Oswald"
"Aurora Mardiganian, Henry Leyford Gates"
"Hanns Kräly, Ernst Lubitsch"
"Juan Manuel Cabrera, Miguel Necoechea"
"James Oliver Curwood, James Oliver Curwood"
"Gouverneur Morris, Luther Reed"
"Erich von Stroheim, Erich von Stroheim"
"Thomas Burke, D.W. Griffith"
"R. Cecil Smith, Earle Snell"
"Jean Webster, Agnes Christine Johnston"
"Harvey F. Thew, John B. Clymer"
Jeanie Macpherson
"Max Marcin, Albert Parker"
"Jeanie Macpherson, Edgar Selwyn"
"John Emerson, Anita Loos"
"William Hale, Stanner E.V. Taylor"
"Arthur B. Reeve, John Grey"
"David Belasco, Max Jungk"
