director
Alexander Black
Charles Tait
Urban Gad
Charles L. Gaskill
"Francesco Bertolini, Adolfo Padovan"
Sidney Olcott
Ernst Lubitsch
Enrico Guazzoni
"Aristide Demetriade, Grigore Brezeanu"
"André Calmettes, James Keane"
August Blom
Louis Feuillade
Victor Sjöström
Louis Feuillade
Mario Caserini
Alfred Machin
Louis Feuillade
D.W. Griffith
"Paul Wegener, Stellan Rye"
George Loane Tucker
"Mario Caserini, Eleuterio Rodolfi"
"Francesca Bertini, Gustavo Serena"
D.W. Griffith
Reginald Barker
Giovanni Pastrone
James Kirkwood
Léonce Perret
Louis Feuillade
Sidney Drew
"Henrik Galeen, Paul Wegener"
Benjamin Christensen
J. Farrell MacDonald
Lois Weber
Edward S. Curtis
D.W. Griffith
J. Farrell MacDonald
"Louis J. Gasnier, Donald MacKenzie"
"Oscar Apfel, Cecil B. DeMille"
Edwin S. Porter
"Mack Sennett, Charles Bennett"
Michael Curtiz
William Robert Daly
Cecil B. DeMille
Maurice Tourneur
Reginald Barker
Maurice Tourneur
W.W. Young
D.W. Griffith
Cecil B. DeMille
Cecil B. DeMille
"Reginald Barker, Thomas H. Ince"
Frank Powell
Cecil B. DeMille
Benjamin Christensen
Reginald Barker
"Luigi Romano Borgnetto, Vincenzo Denizot"
Christy Cabanne
Edgar Lewis
Yevgeny Bauer
Nino Oxilia
Raoul Walsh
Louis Feuillade
George Melford
Stuart Paton
"Chester M. Franklin, Sidney Franklin"
"Reginald Barker, Thomas H. Ince"
Chester Withey
Victor Sjöström
Christy Cabanne
"Chester M. Franklin, Sidney Franklin"
Allan Dwan
"Chester M. Franklin, Sidney Franklin"
Allan Dwan
"Charles Swickard, William S. Hart"
John Emerson
Lloyd Ingraham
D.W. Griffith
Louis Feuillade
Paul Powell
Yakov Protazanov
Christy Cabanne
William S. Hart
Ernst Lubitsch
Arthur Berthelet
Lois Weber
J. Searle Dawley
John Emerson
Mauritz Stiller
"Phillips Smalley, Lois Weber"
Ruth Ann Baldwin
John Ford
J. Gordon Edwards
Robert Wiene
Maurice Tourneur
Holger-Madsen
Cecil B. DeMille
"Cecil B. DeMille, Joseph Levering"
Marshall Neilan
Abel Gance
Allan Dwan
"Yakov Protazanov, Alexandre Volkoff"
Maurice Tourneur
George Irving
Marshall Neilan
Cecil B. DeMille
Yakov Protazanov
John Ford
Frank Lloyd
Victor Sjöström
Mauritz Stiller
Harry Davenport
William Desmond Taylor
Victor Sjöström
John Emerson
Marshall Neilan
Alexander Korda
Ernst Lubitsch
Victor Sjöström
Maurice Tourneur
Ida May Park
Ernst Lubitsch
Abel Gance
Ernst Lubitsch
Sidney Franklin
D.W. Griffith
John Ford
William Desmond Taylor
Marshall Neilan
Joseph Maxwell
"F. Richard Jones, James Young"
Cecil B. DeMille
Walter Edwards
D.W. Griffith
Albert Parker
Charles Chaplin
Marshall Neilan
Scott Sidney
Louis Feuillade
Alan Crosland
Cecil B. DeMille
Richard Oswald
Oscar Apfel
Ernst Lubitsch
Enrique Rosas
David Hartford
Irvin Willat
Erich von Stroheim
D.W. Griffith
Jerome Storm
Marshall Neilan
Robert Z. Leonard
Cecil B. DeMille
Albert Parker
Cecil B. DeMille
Allan Dwan
D.W. Griffith
Irvin Willat
Fritz Lang
James Cruze
"Joseph De Grasse, Sidney Franklin"
Mauritz Stiller
Sidney Franklin
Ernst Lubitsch
Victor Sjöström
Abel Gance
Robert Wiene
Cecil B. DeMille
Ernst Lubitsch
George Loane Tucker
D.W. Griffith
Otto Rippert
Carl Theodor Dreyer
Ernst Lubitsch
James Cruze
D.W. Griffith
Raymond Longford
Fritz Lang
Mauritz Stiller
D.W. Griffith
Richard Oswald
Maurice Tourneur
Lambert Hillyer
Victor Fleming
Tod Browning
F. Richard Jones
Hans Werckmeister
Ernst Lubitsch
Robert Z. Leonard
Jacques Feyder
Carl Theodor Dreyer
John S. Robertson
Mauritz Stiller
Rasmus Breistein
Alan Crosland
F.W. Murnau
Robert Wiene
"Carl Boese, Paul Wegener"
Lawrence C. Windom
André Antoine
Marcel L'Herbier
Frank Borzage
King Vidor
John Ford
Franz Osten
Victor Sjöström
Ernst Lubitsch
"Clarence Brown, Maurice Tourneur"
David Kirkland
D.W. Griffith
Fred Niblo
Gunnar Sommerfeldt
Victor Fleming
David Hartford
Paul Powell
Carl Theodor Dreyer
"Leon D'Usseau, Robert Z. Leonard"
Ernst Lubitsch
George Melford
"Herbert Blaché, Winchell Smith"
Fred Niblo
Cecil B. DeMille
Fritz Lang
John Francis Dillon
Ernst Lubitsch
James Cruze
Lambert Hillyer
Karl Heinz Martin
Fritz Lang
D.W. Griffith
Cecil B. DeMille
Oscar Micheaux
Wallace Worsley
"Robert F. Hill, Scott Sidney"
Cecil B. DeMille
Max Linder
Ernst Lubitsch
Lois Weber
George D. Baker
Ray C. Smallwood
Rex Ingram
D.W. Griffith
Maurice Campbell
Marcel L'Herbier
Robert G. Vignola
Cecil B. DeMille
Rex Ingram
"Svend Gade, Heinz Schall"
"Leopold Jessner, Paul Leni"
Joe May
Joe May
Mauritz Stiller
Charles Chaplin
Victor Sjöström
"James Cruze, Roscoe 'Fatty' Arbuckle"
"Alfred E. Green, Jack Pickford"
Frances Marion
William C. de Mille
"Albert Austin, Victor Heerman"
Fritz Lang
Theodore Reed
D.W. Griffith
Tod Browning
Minoru Murata
Fred C. Newmeyer
Dimitri Buchowetzki
Lupu Pick
F.W. Murnau
George Melford
King Vidor
André Antoine
Fred Niblo
"Alfred E. Green, Jack Pickford"
Henry King
Lois Weber
Fritz Lang
Robert G. Vignola
Sam Wood
"Fred Niblo, Dorothy Arzner"
F.W. Murnau
George Terwilliger
Jacques Feyder
Carl Theodor Dreyer
"Fred C. Newmeyer, Sam Taylor"
Elmer Clifton
Louis Delluc
Irving Cummings
Erich von Stroheim
Carl Theodor Dreyer
Fred C. Newmeyer
Edward D. Venturini
Maurice Tourneur
Burton L. King
Cecil B. DeMille
"Rupert Julian, Erich von Stroheim"
Emmett J. Flynn
George Melford
Manfred Noa
F.W. Murnau
Frank Lloyd
Dimitri Buchowetzki
F.W. Murnau
Rex Ingram
Allan Dwan
"Charles Bryant, Alla Nazimova"
Cecil B. DeMille
Arthur Robison
Henry King
Tom Forman
Albert Parker
Lynn Reynolds
Michael Curtiz
John S. Robertson
Max Linder
Chester M. Franklin
Robert Thornby
Harry B. Parkinson
Ernst Lubitsch
Robert G. Vignola
Phil Rosen
Ewald André Dupont
John Ford
Jean Epstein
James Cruze
F. Richard Jones
Mauritz Stiller
Mauritz Stiller
Harry Houdini
Wallace Worsley
Sidney Olcott
"John G. Blystone, Buster Keaton"
Charles Chaplin
Robert Wiene
"Ernst Lubitsch, Raoul Walsh"
Abel Gance
"Fred C. Newmeyer, Sam Taylor"
Rex Ingram
Georg Wilhelm Pabst
Lambert Hillyer
Rupert Hughes
Karl Grune
Lupu Pick
Cecil B. DeMille
"Edward F. Cline, Buster Keaton"
"Leo Birinsky, Paul Leni"
D.W. Griffith
Henry King
Tod Browning
"Fred C. Newmeyer, Sam Taylor"
Charles Chaplin
Allan Dwan
Yakov Protazanov
D.W. Griffith
Harry Beaumont
Frank Lloyd
Edward F. Cline
Lewis H. Moomaw
Henry Otto
"Marshall Neilan, Mary Pickford"
John S. Robertson
William A. Seiter
Jean Renoir
F.W. Murnau
Ernst Lubitsch
"Fred C. Newmeyer, Sam Taylor"
Victor Sjöström
Sidney Franklin
"Fred C. Newmeyer, Sam Taylor"
Marcel L'Herbier
John Ford
D.W. Griffith
E. Mason Hopper
Alexandre Volkoff
F.W. Murnau
Allan Dwan
Ernst Lubitsch
Carl Theodor Dreyer
Sidney Olcott
"Donald Crisp, Buster Keaton"
Lev Kuleshov
Fritz Lang
Fritz Lang
Paul Bern
Robert Wiene
Yuri Zhelyabuzhsky
René Clair
Herbert Brenon
Fred Niblo
Henry King
Frank Lloyd
Frank Borzage
Buster Keaton
Sergei M. Eisenstein
Raoul Walsh
Graham Cutts
King Vidor
King Vidor
Robert G. Vignola
"Lotte Reiniger, Carl Koch"
"King Vidor, George W. Hill"
Oscar Micheaux
Alan Hale
Sergei M. Eisenstein
Frank Borzage
Noel M. Smith
Joseph Henabery
Donald Crisp
Carl Theodor Dreyer
Clarence Brown
René Clair
Marcel L'Herbier
"Fred C. Newmeyer, Sam Taylor"
Georg Wilhelm Pabst
Kenji Mizoguchi
Carl Theodor Dreyer
Buster Keaton
Charles Chaplin
Clarence Brown
Erich von Stroheim
Jacques Feyder
Sidney Franklin
Pedro Sienna
Ernst Lubitsch
